typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20190101","2019","52","2019","360","IDN","Indonesia","M","Import","608","PHL","Philippines","0","W00","World","H5","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","69095606","0","69095606","0","false","true",
"C","A","20190101","2019","52","2019","360","IDN","Indonesia","X","Export","608","PHL","Philippines","0","W00","World","H5","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","2105862606.048","2105862606.048","4","false","true",
"C","A","20190101","2019","52","2019","458","MYS","Malaysia","M","Import","608","PHL","Philippines","0","W00","World","H5","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","16594293.464","0","16594293.464","4","false","true",
"C","A","20190101","2019","52","2019","458","MYS","Malaysia","X","Export","608","PHL","Philippines","0","W00","World","H5","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","56554327.527","56554327.527","4","false","true",
"C","A","20190101","2019","52","2019","360","IDN","Indonesia","M","Import","702","SGP","Singapore","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1235634990","0","1235634990","4","false","true",
"C","A","20190101","2019","52","2019","360","IDN","Indonesia","X","Export","702","SGP","Singapore","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","881634214.673","881634214.673","4","false","true",
"C","A","20190101","2019","52","2019","458","MYS","Malaysia","M","Import","702","SGP","Singapore","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1531751629.725","0","1531751629.725","4","false","true",
"C","A","20190101","2019","52","2019","458","MYS","Malaysia","X","Export","702","SGP","Singapore","0","W00","World","H5","HS","true","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","3892649545.85","3892649545.85","4","false","true",
"C","A","20190101","2019","52","2019","360","IDN","Indonesia","M","Import","702","SGP","Singapore","0","W00","World","H5","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1992952386","0","1992952386","4","false","true",
"C","A","20190101","2019","52","2019","360","IDN","Indonesia","X","Export","702","SGP","Singapore","0","W00","World","H5","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","1579864383.326","1579864383.326","4","false","true",
